% Model:              MRP_withobs.mph
% Version:            COMSOL 6.2.0.290
% Date:               Mar 14 2026, 23:47
% Table:              Table 4 - Global Evaluation 1
% u_in (m/s)             h_ratio                  Re (1)                   pe (1)                   c_bulk (mol/m^3)         sc (1)                   c_wall (mol/m^3)         sh (1)                   Re (1)                   pe (1)                   c_bulk (mol/m^3)         sc (1)                   c_wall (mol/m^3)         sh (1)                   Re (1)                   pe (1)                   c_bulk (mol/m^3)         sc (1)                   c_wall (mol/m^3)         sh (1)                   Re (1)                   pe (1)                   c_bulk (mol/m^3)         sc (1)                   c_wall (mol/m^3)         sh (1)
0.005                    0.1                      7.750000000000002        21.385799828913605       1995.3764936622085       2.7594580424404644       1995.9791547088175       7.097123648274702        7.750000000000002        21.385799828913605       1995.3764936622085       2.7594580424404644       1995.9791547088175       7.097123648274702        7.750000000000002        21.385799828913605       1995.3764936622085       2.7594580424404644       1995.9791547088175       7.097123648274702        7.750000000000002        21.385799828913605       1995.3764936622085       2.7594580424404644       1995.9791547088175       7.097123648274702
0.005                    0.2                      7.750000000000002        21.385799828913605       1994.8436485159975       2.7594580424404644       1995.4570335935175       6.97304209465938         7.750000000000002        21.385799828913605       1994.8436485159975       2.7594580424404644       1995.4570335935175       6.97304209465938         7.750000000000002        21.385799828913605       1994.8436485159975       2.7594580424404644       1995.4570335935175       6.97304209465938         7.750000000000002        21.385799828913605       1994.8436485159975       2.7594580424404644       1995.4570335935175       6.97304209465938
0.005                    0.3                      7.750000000000002        21.385799828913605       1994.3205358950102       2.7594580424404644       1994.9572323529603       6.717737961905696        7.750000000000002        21.385799828913605       1994.3205358950102       2.7594580424404644       1994.9572323529603       6.717737961905696        7.750000000000002        21.385799828913605       1994.3205358950102       2.7594580424404644       1994.9572323529603       6.717737961905696        7.750000000000002        21.385799828913605       1994.3205358950102       2.7594580424404644       1994.9572323529603       6.717737961905696
0.005                    0.4                      7.750000000000002        21.385799828913605       1993.7959432900836       2.7594580424404644       1994.4761682516028       6.287860939755477        7.750000000000002        21.385799828913605       1993.7959432900836       2.7594580424404644       1994.4761682516028       6.287860939755477        7.750000000000002        21.385799828913605       1993.7959432900836       2.7594580424404644       1994.4761682516028       6.287860939755477        7.750000000000002        21.385799828913605       1993.7959432900836       2.7594580424404644       1994.4761682516028       6.287860939755477
0.008                    0.1                      12.400000000000002       34.217279726261765       1997.0734335052214       2.7594580424404644       1996.8711932879628       -21.14890907338226       12.400000000000002       34.217279726261765       1997.0734335052214       2.7594580424404644       1996.8711932879628       -21.14890907338226       12.400000000000002       34.217279726261765       1997.0734335052214       2.7594580424404644       1996.8711932879628       -21.14890907338226       12.400000000000002       34.217279726261765       1997.0734335052214       2.7594580424404644       1996.8711932879628       -21.14890907338226
0.008                    0.2                      12.400000000000002       34.217279726261765       1996.7391825497402       2.7594580424404644       1996.4458983404404       -14.583669458351714      12.400000000000002       34.217279726261765       1996.7391825497402       2.7594580424404644       1996.4458983404404       -14.583669458351714      12.400000000000002       34.217279726261765       1996.7391825497402       2.7594580424404644       1996.4458983404404       -14.583669458351714      12.400000000000002       34.217279726261765       1996.7391825497402       2.7594580424404644       1996.4458983404404       -14.583669458351714
0.008                    0.3                      12.400000000000002       34.217279726261765       1996.4096509629392       2.7594580424404644       1996.0299785993127       -11.265397156983221      12.400000000000002       34.217279726261765       1996.4096509629392       2.7594580424404644       1996.0299785993127       -11.265397156983221      12.400000000000002       34.217279726261765       1996.4096509629392       2.7594580424404644       1996.0299785993127       -11.265397156983221      12.400000000000002       34.217279726261765       1996.4096509629392       2.7594580424404644       1996.0299785993127       -11.265397156983221
0.008                    0.4                      12.400000000000002       34.217279726261765       1996.0780818143728       2.7594580424404644       1995.6158088368288       -9.252455093756181       12.400000000000002       34.217279726261765       1996.0780818143728       2.7594580424404644       1995.6158088368288       -9.252455093756181       12.400000000000002       34.217279726261765       1996.0780818143728       2.7594580424404644       1995.6158088368288       -9.252455093756181       12.400000000000002       34.217279726261765       1996.0780818143728       2.7594580424404644       1995.6158088368288       -9.252455093756181
0.011                    0.1                      17.05                    47.048759623609925       1997.8416726796638       2.7594580424404644       1997.294020784037        -7.809997554901744       17.05                    47.048759623609925       1997.8416726796638       2.7594580424404644       1997.294020784037        -7.809997554901744       17.05                    47.048759623609925       1997.8416726796638       2.7594580424404644       1997.294020784037        -7.809997554901744       17.05                    47.048759623609925       1997.8416726796638       2.7594580424404644       1997.294020784037        -7.809997554901744
0.011                    0.2                      17.05                    47.048759623609925       1997.6010203108383       2.7594580424404644       1996.9118493928827       -6.206239779343435       17.05                    47.048759623609925       1997.6010203108383       2.7594580424404644       1996.9118493928827       -6.206239779343435       17.05                    47.048759623609925       1997.6010203108383       2.7594580424404644       1996.9118493928827       -6.206239779343435       17.05                    47.048759623609925       1997.6010203108383       2.7594580424404644       1996.9118493928827       -6.206239779343435
